Date,BVR_mean_RDOsat_percent_13,BVR_mean_EXOChla_ugL_1.5,BVR_mean_EXOfDOM_QSU_1.5,BVR_mean_EXOTemp_C_1.5,BVR_mean_EXODOsat_percent_1.5,BVR_mean_schmidt_stability,mean_ShortwaveRadiationUp_Average_W_m2,mean_AirTemp_C_Average,mean_WindSpeed_Average_m_s,sum_Rain_Total_mm
2020-07-01,0,5.444444444,14.06715278,24.13136111,129.0303472,73.04663357,291.992367,25.57627581,1.985403472,0
2020-07-02,0,5.609571429,14.10435714,24.80361429,130.5355814,78.77398744,279.8515914,24.74258726,2.005536806,0
2020-07-03,0,6.260555556,15.00076389,24.8635,139.7221528,83.20176374,322.1496971,25.13529209,2.095717361,0
2020-07-04,0,6.514652778,15.46222222,25.19096528,144.3711806,87.52783061,269.9207897,26.10573673,1.874011806,0
2020-07-05,0,6.972152778,15.75097222,25.50745833,146.84625,92.08762846,298.321975,26.60787326,1.271593056,0
2020-07-06,0,7.058472222,15.91423611,25.92570139,149.1289583,97.03890625,305.8661188,26.61955589,1.527257639,0
2020-07-07,0,7.177708333,16.00458333,26.46911111,150.7645139,98.69906364,294.0674719,25.79609251,1.438295833,0
2020-07-08,0,7.398333333,15.95715278,26.74616667,149.6526389,99.0011106,276.2880508,26.49691831,1.204286111,0
2020-07-09,0,7.446666667,15.23590278,27.12480556,141.7195833,99.10682827,230.0720797,26.43126144,1.209453472,0
2020-07-10,0,6.946736111,15.15090278,27.23697222,140.1996528,101.644446,251.8336076,26.61369974,1.443691667,2.54
2020-07-11,0,4.4275,11.84875,28.07889583,114.9804167,104.9882613,288.062834,25.87662103,2.080988889,0
2020-07-12,0,5.142152778,12.57388889,26.99463889,114.3102083,99.7822696,251.9639222,25.88853448,1.894992361,0
2020-07-13,0,4.617777778,12.53645833,26.85352083,114.1080556,98.98683408,296.6854535,24.95323474,2.260813194,6.858
2020-07-14,0,4.335555556,12.87909722,26.98272917,115.1078472,101.4094467,288.5620625,25.95597924,1.922154861,0
2020-07-15,0,3.962638889,13.30902778,27.08367361,115.7024306,101.526929,299.7023715,26.53287563,1.402618056,0
2020-07-16,0,4.46,14.32243056,26.91486111,115.4846528,100.3305115,173.3021681,26.69307639,1.609129167,0
2020-07-17,0,3.403125,12.89569444,27.31913194,111.0525694,104.0043757,223.3607542,27.17228114,1.124680556,0
2020-07-18,0,2.717762238,12.56118881,27.62330769,110.9206294,107.0502031,283.9134604,27.79285673,1.6197875,0
2020-07-19,0,2.008194444,12.15819444,28.41560417,112.6797222,113.7374264,275.0860312,28.48812394,1.704447917,0
2020-07-20,0,2.007013889,11.99861111,28.56726389,110.8624306,113.4473764,221.0534681,27.61110972,1.923277083,2.794
2020-07-21,0,1.985694444,12.20222222,28.41806944,109.7520833,111.9198282,186.878466,26.26133196,1.684479167,11.43
2020-07-22,0,1.859027778,12.22527778,28.21619444,110.6429861,110.550894,252.4051535,26.52391623,1.992513194,5.588
